Model,K,Coherence,Silhouette,Perplexity,Coherence_Rank,Silhouette_Rank,Avg_Rank
LDA,4,-2.181929297850565,0.0063112667209702855,265.71484887783924,15.0,11.0,13.0
NMF,4,-1.8179739571754678,0.026494617961127353,,5.0,9.0,7.0
LSA,4,-1.9036800942123635,0.023170056785614217,,11.0,10.0,10.5
LDA,5,-2.1194403718769954,-0.007413874788918276,240.869639068117,13.0,13.0,13.0
NMF,5,-1.798261026542788,0.03225255852824396,,4.0,6.0,5.0
LSA,5,-1.9002789215507758,0.02803182796031617,,9.0,8.0,8.5
LDA,6,-2.1551007486675293,-0.01445102772146105,221.2447907429013,14.0,15.0,14.5
NMF,6,-1.655925024611756,0.03390029853234858,,2.0,3.0,2.5
LSA,6,-1.8774591943249241,0.03163961100939465,,7.0,7.0,7.0
LDA,7,-2.0905532900515778,0.0045582302094586006,198.92871253660854,12.0,12.0,12.0
NMF,7,-1.6491885941811362,0.03862867813696331,,1.0,1.0,1.0
LSA,7,-1.9031155839328167,0.032786014500806746,,10.0,5.0,7.5
LDA,8,-1.8697133840696485,-0.010535501062973764,211.01169785378636,6.0,14.0,10.0
NMF,8,-1.6799540800354595,0.03837583992760106,,3.0,2.0,2.5
LSA,8,-1.8955075961608294,0.03339556785390057,,8.0,4.0,6.0
